Sensor ID, F22AF15072C9
Timestamp,2017-10-21 11:37:18
Samples,16382
Interval,500ms

Sample #, Temperature, Humidity, Lux, Acc X, Acc Y, Acc Z
2017-10-21 11:37:59,24.1,69.8,8.0,0.35,-0.22,0.93
2017-10-21 11:38:00,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:00,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:01,24.2,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:01,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:02,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:02,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:03,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:03,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:04,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:04,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:05,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:05,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:06,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:06,24.1,69.8,8.0,0.38,-0.22,0.93
2017-10-21 11:38:07,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:07,24.1,69.8,8.0,0.35,-0.22,0.93
2017-10-21 11:38:08,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:08,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:09,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:09,24.1,69.8,8.0,0.35,-0.22,0.93
2017-10-21 11:38:10,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:10,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:11,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:11,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:12,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:12,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:13,24.1,69.8,8.0,0.35,-0.22,0.93
2017-10-21 11:38:13,24.1,69.8,8.0,0.37,-0.22,0.93
2017-10-21 11:38:14,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:14,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:15,24.1,69.8,8.0,0.36,-0.22,0.93
2017-10-21 11:38:15,24.1,69.8,8.0,0.35,-0.22,0.93
2017-10-21 11:38:16,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:16,24.1,69.8,8.0,0.35,-0.22,0.93
2017-10-21 11:38:17,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:17,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:18,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:18,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:19,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:19,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:20,24.1,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:20,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:21,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:21,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:22,24.1,69.7,8.0,0.34,-0.22,0.93
2017-10-21 11:38:22,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:23,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:23,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:24,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:24,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:25,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:25,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:26,24.1,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:26,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:27,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:27,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:28,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:28,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:29,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:29,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:30,24.1,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:30,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:31,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:31,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:32,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:32,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:33,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:33,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:34,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:34,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:35,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:35,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:36,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:36,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:37,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:37,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:38,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:38,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:39,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:39,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:40,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:40,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:41,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:41,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:42,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:42,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:43,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:43,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:44,24.1,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:44,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:45,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:45,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:46,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:46,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:47,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:47,24.1,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:48,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:48,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:49,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:49,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:50,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:50,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:51,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:51,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:52,24.1,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:52,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:53,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:53,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:54,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:54,24.1,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:38:55,24.0,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:55,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:56,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:56,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:57,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:57,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:38:58,24.0,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:58,24.1,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:38:59,24.1,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:38:59,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:00,24.0,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:39:00,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:01,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:01,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:02,24.0,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:39:02,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:03,24.1,69.7,8.0,0.34,-0.22,0.93
2017-10-21 11:39:03,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:04,24.0,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:39:04,24.0,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:39:05,24.0,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:39:05,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:06,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:06,24.0,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:39:07,24.0,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:39:07,24.0,69.6,8.0,0.39,-0.22,0.93
2017-10-21 11:39:08,24.0,69.7,8.0,0.34,-0.22,0.93
2017-10-21 11:39:08,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:09,24.0,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:39:09,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:10,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:10,24.1,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:11,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:11,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:12,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:12,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:13,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:13,24.0,69.7,8.0,0.35,-0.22,0.93
2017-10-21 11:39:14,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:14,24.0,69.7,8.0,0.38,-0.22,0.93
2017-10-21 11:39:15,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:15,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:16,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:16,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:17,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:17,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:18,24.0,69.7,8.0,0.37,-0.22,0.93
2017-10-21 11:39:18,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:19,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:19,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:20,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:20,24.0,69.7,8.0,0.36,-0.22,0.93
2017-10-21 11:39:21,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:21,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:22,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:22,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:23,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:23,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:24,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:24,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:25,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:25,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:26,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:26,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:27,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:27,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:28,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:28,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:29,24.0,69.6,8.0,0.34,-0.22,0.93
2017-10-21 11:39:29,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:30,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:30,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:31,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:31,24.0,69.6,8.0,0.39,-0.22,0.93
2017-10-21 11:39:32,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:32,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:33,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:33,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:34,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:34,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:35,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:35,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:36,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:36,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:37,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:37,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:38,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:38,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:39,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:39,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:40,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:40,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:41,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:41,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:42,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:42,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:43,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:43,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:44,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:44,24.0,69.6,9.0,0.38,-0.22,0.93
2017-10-21 11:39:45,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:45,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:46,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:46,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:47,24.0,69.6,9.0,0.36,-0.22,0.93
2017-10-21 11:39:47,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:48,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:48,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:49,24.0,69.6,8.0,0.38,-0.22,0.93
2017-10-21 11:39:49,23.9,69.6,9.0,0.36,-0.22,0.93
2017-10-21 11:39:50,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:50,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:51,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:51,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:52,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:52,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:53,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:53,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:54,23.9,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:54,24.0,69.6,8.0,0.35,-0.22,0.93
2017-10-21 11:39:55,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:55,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:56,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:56,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:57,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:57,24.0,69.6,8.0,0.36,-0.22,0.93
2017-10-21 11:39:58,24.0,69.6,8.0,0.37,-0.22,0.93
2017-10-21 11:39:58,24.0,69.6,8.0,0.37,-0.22,0.93
