Sensor ID, F8EA1B26FF86,,,,,
Timestamp,2017/10/21 11:36,,,,,
Samples,16382,,,,,
Interval,500ms,,,,,
,,,,,,
Sample #, Temperature, Humidity, Lux, Acc X, Acc Y, Acc Z
11:37:04,22.7,91.2,8,-0.3,-0.04,0.99
11:37:04,22.7,91.2,8,-0.3,-0.04,0.99
11:37:05,22.7,91.2,8,-0.3,-0.04,0.99
11:37:05,22.7,91.2,8,-0.3,-0.04,1
11:37:06,22.7,91.2,8,-0.3,-0.04,1
11:37:06,22.7,91.2,8,-0.3,-0.04,1
11:37:07,22.7,91.2,8,-0.3,-0.04,0.99
11:37:07,22.7,91.2,8,-0.3,-0.04,0.99
11:37:08,22.7,91.2,8,-0.3,-0.04,1
11:37:08,22.7,91.2,8,-0.3,-0.04,0.99
11:37:09,22.7,91.2,8,-0.3,-0.04,0.99
11:37:09,22.7,91.2,8,-0.3,-0.04,1
11:37:10,22.7,91.2,8,-0.3,-0.04,0.99
11:37:10,22.7,91.2,8,-0.3,-0.04,0.99
11:37:11,22.7,91.2,8,-0.3,-0.04,1
11:37:11,22.7,91.2,8,-0.3,-0.04,1
11:37:12,22.7,91.2,8,-0.3,-0.04,1
11:37:12,22.7,91.2,8,-0.3,-0.04,1
11:37:13,22.7,91.2,8,-0.3,-0.04,0.99
11:37:13,22.7,91.2,8,-0.3,-0.04,0.99
11:37:14,22.7,91.2,8,-0.3,-0.04,1
11:37:14,22.7,91.2,8,-0.3,-0.04,0.99
11:37:15,22.7,91.2,8,-0.3,-0.04,0.99
11:37:15,22.7,91.2,8,-0.3,-0.04,0.99
11:37:16,22.7,91.2,8,-0.3,-0.04,1
11:37:16,22.7,91.2,8,-0.3,-0.04,0.99
11:37:17,22.7,91.2,8,-0.3,-0.04,1
11:37:17,22.7,91.2,8,-0.3,-0.04,0.99
11:37:18,22.7,91.2,8,-0.3,-0.04,1
11:37:18,22.7,91.2,8,-0.3,-0.04,1
11:37:19,22.7,91.2,8,-0.3,-0.04,1
11:37:19,22.7,91.2,8,-0.3,-0.04,0.99
